ref_line	ref_widx	storr	benloew	boeckh	bothe	brown	colonna	dain	dawe	griffith	hermann	jebb	lj	pearson	reinhardt
7	45	τοῦτʼ	τοῦτ᾽	τοῦτ᾽	τοῦτ᾽	τοῦτ᾽	τοῦτ᾽	τοῦτ’	τοῦτ᾽	τοῦτ᾽	τοῦτ᾽	τοῦτ᾽	τοῦτ᾿	τοῦτ᾽	τοῦτ᾽
7	46	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ
7	47	φασι	φασὶ	φασὶ	φασὶ	φασι	φασι	φασι	φασι	φασι	φασὶ	φασὶ	φασι	φασι	φασι
7	48	πανδήμῳ	πανδήμῳ	πανδήμῳ	πανδήμῳ	πανδήμωι	πανδήμῳ	πανδήμῳ	πανδήμωι	πανδήμωι	πανδήμῳ	πανδήμῳ	πανδήμῳ	πανδήμῳ	πανδήμωι
7	49	πόλει	πόλει	πόλει	πόλει	πόλει	πόλει	πόλει	πόλει	πόλει	πόλει	πόλει	πόλει	πόλει	πόλει
8	50	κήρυγμα	κήρυγμα	κήρυγμα	κήρυγμα	κήρυγμα	κήρυγμα	κήρυγμα	κήρυγμα	κήρυγμα	κήρυγμα	κήρυγμα	κήρυγμα	κήρυγμα	κήρυγμα
8	51	θεῖναι	θεῖναι	θεῖναι	θεῖναι	θεῖναι	θεῖναι	θεῖναι	θεῖναι	θεῖναι	θεῖναι	θεῖναι	θεῖναι	θεῖναι	θεῖναι
8	52	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν
8	53	στρατηγὸν	στρατηγὸν	στρατηγὸν	στρατηγὸν	στρατηγὸν	στρατηγὸν	στρατηγὸν	στρατηγὸν	στρατηγὸν	στρατηγὸν	στρατηγὸν	στρατηγὸν	στρατηγὸν	στρατηγὸν
8	54	ἀρτίως;	ἀρτίως	ἀρτίως;	ἀρτίως;	ἀρτίως;	ἀρτίως;	ἀρτίως;	ἀρτίως;	ἀρτίως;	ἀρτίως;	ἀρτίως;	ἀρτίως;	ἀρτίως;	ἀρτίως;
9	55	ἔχεις	ἔχεις	ἔχεις	ἔχεις	ἔχεις	ἔχεις	ἔχεις	ἔχεις	ἔχεις	ἔχεις	ἔχεις	ἔχεις	ἔχεις	ἔχεις
9	56	τι	τι	τι	τι,	τι	τι	τι	τι	τι	τι,	τι	τι	τι	τι
9	57	κεἰσήκουσας;	κεἰσήκουσας;	κεἰσήκουσας;	κεἰσήκουσας,	κεἰσήκουσας;	κεἰσήκουσας	κεἰσήκουσας;	κεἰσήκουσας;	κεἰσήκουσας;	κεἰσήκουσας;	κεἰσήκουσας	κεἰσήκουσας;	κεἰσήκουσας;	κεἰσήκουσας;
9	58	ἤ	ἤ	ἤ	ἤ	ἤ	ἤ	ἤ	ἤ	ἤ	ἤ	ἤ	ἢ	ἤ	ἤ
9	59	σε	σε	σε	σε	σε	σε	σε	σε	σε	σε	σε	σε	σε	σε
9	60	λανθάνει	λανθάνει	λανθάνει	λανθάνει	λανθάνει	λανθάνει	λανθάνει	λανθάνει	λανθάνει	λανθάνει	λανθάνει	λανθάνει	λανθάνει	λανθάνει
10	61	πρὸς	πρὸς	πρὸς	πρὸς	πρὸς	πρὸς	πρὸς	πρὸς	πρὸς	πρὸς	πρὸς	πρὸς	πρὸς	πρὸς
10	62	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς
10	63	φίλους	φίλους	φίλους	φίλους	φίλους	φίλους	φίλους	φίλους	φίλους	φίλους	φίλους	φίλους	φίλους	φίλους
10	64	στείχοντα	στείχοντα	στείχοντα	στείχοντα	στείχοντα	στείχοντα	στείχοντα	στείχοντα	στείχοντα	στείχοντα	στείχοντα	στείχοντα	στείχοντα	στείχοντα
10	65	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν
10	66	ἐχθρῶν	ἐχθρῶν	ἐχθρῶν	ἐχθρῶν	ἐχθρῶν	ἐχθρῶν	ἐχθρῶν	ἐχθρῶν	ἐχθρῶν	ἐχθρῶν	ἐχθρῶν	ἐχθρῶν	ἐχθρῶν	ἐχθρῶν
10	67	κακά;	κακά	κακά;	κακά;	κακά;	κακά;	κακά;	κακά;	κακά;	κακά;	κακά;	κακά;	κακά;	κακά;
11	68	ἐμοὶ	ἐμοὶ	ἐμοὶ	ἐμοὶ	ἐμοὶ	ἐμοὶ	ἐμοὶ	ἐμοὶ	ἐμοὶ	ἐμοὶ	ἐμοὶ	ἐμοὶ	ἐμοὶ	ἐμοὶ
11	69	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν	μὲν
11	70	οὐδεὶς	οὐδεὶς	οὐδεὶς	οὐδεὶς	οὐδεὶς	οὐδεὶς	οὐδεὶς	οὐδεὶς	οὐδεὶς	οὐδεὶς	οὐδεὶς	οὐδεὶς	οὐδεὶς	οὐδεὶς
11	71	μῦθος,	μῦθος,	μῦθος,	μῦθος,	μῦθος,	μῦθος,	μῦθος,	μῦθος,	μῦθος,	μῦθος,	μῦθος,	μῦθος,	μῦθος,	μῦθος,
11	72	Ἀντιγόνη	Ἀντιγόνη,	Ἀντιγόνη,	Ἀντιγόνη,	Ἀντιγόνη,	Ἀντιγόνη,	Ἀντιγόνη,	Ἀντιγόνη,	Ἀντιγόνη,	Ἀντιγόνη,	Ἀντιγόνη,	Ἀντιγόνη,	Ἀντιγόνη,	Ἀντιγόνη,
11	73	φίλων	φίλων	φίλων	φίλων	φίλων	φίλων	φίλων	φίλων	φίλων	φίλων	φίλων	φίλων	φίλων	φίλων
12	74	οὔθʼ	οὔθ᾽	οὔθ᾽	οὔθ᾽	οὔθ᾽	οὔθ᾽	οὔθ’	οὔθ᾽	οὔθ᾽	οὔθ᾽	οὔθ᾽	οὔθ᾿	οὔθ᾽	οὔθ᾽
12	75	ἡδὺς	ἡδὺς,	ἡδὺς	ἡδὺς,	ἡδὺς	ἡδὺς	ἡδὺς	ἡδὺς	ἡδὺς	ἡδὺς	ἡδὺς	ἡδὺς	ἡδὺς	ἡδὺς
12	76	οὔτʼ	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ’	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾿	οὔτ᾽	οὔτ᾽
12	77	ἀλγεινὸς	ἀλγεινὸς	ἀλγεινὸς	ἀλγεινὸς	ἀλγεινὸς	ἀλγεινὸς	ἀλγεινὸς	ἀλγεινὸς	ἀλγεινὸς	ἀλγεινὸς	ἀλγεινὸς	ἀλγεινὸς	ἀλγεινὸς	ἀλγεινὸς
12	78	ἵκετʼ	ἵκετ᾽,	ἵκετ᾽,	ἵκετ᾽,	ἵκετ᾽	ἵκετ᾽,	ἵκετ’,	ἵκετ᾽,	ἵκετ᾽,	ἵκετ᾽	ἵκετ᾽,	ἵκετ᾿	ἵκετ᾽	ἵκετ᾽,
12	79	ἐξ	ἐξ	ἐξότου	ἐξ	ἐξ	ἐξ	ἐξ	ἐξ	ἐξ	ἐξ	ἐξ	ἐξ	ἐξ	ἐξ
12	80	ὅτου	ὅτου		ὅτου	ὅτου	ὅτου	ὅτου	ὅτου	ὅτου	ὅτου	ὅτου	ὅτου	ὅτου	ὅτου
13	81	δυοῖν	δυοῖν	δυοῖν	δυοῖν	δυοῖν	δυοῖν	δυοῖν	δυοῖν	δυοῖν	δυοῖν	δυοῖν	δυοῖν	δυοῖν	δυοῖν
13	82	ἀδελφοῖν	ἀδελφοῖν	ἀδελφοῖν	ἀδελφοῖν	ἀδελφοῖν	ἀδελφοῖν	ἀδελφοῖν	ἀδελφοῖν	ἀδελφοῖν	ἀδελφοῖν	ἀδελφοῖν	ἀδελφοῖν	ἀδελφοῖν	ἀδελφοῖν
13	83	ἐστερήθημεν	ἐστερήθημεν	ἐστερήθημεν	ἐστερήθημεν	ἐστερήθημεν	ἐστερήθημεν	ἐστερήθημεν	ἐστερήθημεν	ἐστερήθημεν	ἐστερήθημεν	ἐστερήθημεν	ἐστερήθημεν	ἐστερήθημεν	ἐστερήθημεν
13	84	δύο,	δύο,	δύο,	δύο,	δύο	δύο,	δύο	δύο	δύο,	δύο,	δύο,	δύο,	δύο,	δύο,
14	85	μιᾷ	μιᾷ	μιᾷ	μιᾷ	μιᾶι	μιᾷ	μιᾷ	μιᾶι	μιᾶι	μιᾷ	μιᾷ	μιᾷ	μιᾷ	μιᾶι
14	86	θανόντοιν	θανόντων	θανόντων	θανόντων	θανόντοιν	θανόντων	θανόντων	θανόντοιν	θανόντοιν	θανόντων	θανόντοιν	θανόντοιν	θανόντοιν	θανόντων
14	87	ἡμέρᾳ	ἡμέρᾳ	ἡμέρᾳ	ἡμέρᾳ	ἡμέραι	ἡμέρᾳ	ἡμέρᾳ	ἡμέραι	ἡμέραι	ἡμέρᾳ	ἡμέρᾳ	ἡμέρᾳ	ἡμέρᾳ	ἡμέραι
14	88	διπλῇ	διπλῇ	διπλῇ	διπλῇ	διπλῆι	διπλῇ	διπλῇ	διπλῆι	διπλῆι	διπλῇ	διπλῇ	διπλῇ	διπλῇ	διπλῆι
14	89	χερί·	χερί	χερί·	χερί·	χερί·	χερί·	χερί·	χερί·	χερί·	χερί·	χερί·	χερί·	χερί·	χερί·
15	90	ἐπεὶ	ἐπεὶ	ἐπεὶ	ἐπεὶ	ἐπεὶ	ἐπεὶ	ἐπεὶ	ἐπεὶ	ἐπεὶ	ἐπεὶ	ἐπεὶ	ἐπεὶ	ἐπεὶ	ἐπεὶ
15	91	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ
15	92	φροῦδός	φροῦδός	φροῦδός	φροῦδός	φροῦδός	φροῦδός	φροῦδός	φροῦδός	φροῦδός	φροῦδός	φροῦδός	φροῦδός	φροῦδός	φροῦδός
15	93	ἐστιν	ἐστιν	ἐστιν	ἐστιν	ἐστιν	ἐστιν	ἐστιν	ἐστιν	ἐστιν	ἐστιν	ἐστιν	ἐστιν	ἐστιν	ἐστιν
15	94	Ἀργείων	Ἀργείων	Ἀργείων	Ἀργείων	Ἀργείων	Ἀργείων	Ἀργείων	Ἀργείων	Ἀργείων	Ἀργείων	Ἀργείων	Ἀργείων	Ἀργείων	Ἀργείων
15	95	στρατὸς	στρατὸς	στρατὸς	στρατὸς	στρατὸς	στρατὸς	στρατὸς	στρατὸς	στρατὸς	στρατὸς	στρατὸς	στρατὸς	στρατὸς	στρατὸς
16	96	ἐν	ἐν	ἐν	ἐν	ἐν	ἐν	ἐν	ἐν	ἐν	ἐν	ἐν	ἐν	ἐν	ἐν
16	97	νυκτὶ	νυκτὶ	νυκτὶ	νυκτὶ	νυκτὶ	νυκτὶ	νυκτὶ	νυκτὶ	νυκτὶ	νυκτὶ	νυκτὶ	νυκτὶ	νυκτὶ	νυκτὶ
16	98	τῇ	τῇ	τῇ	τῇ	τῆι	τῇ	τῇ	τῆι	τῆι	τῇ	τῇ	τῇ	τῇ	τῆι
16	99	νῦν,	νῦν,	νῦν,	νῦν,	νῦν,	νῦν,	νῦν,	νῦν,	νῦν,	νῦν,	νῦν,	νῦν,	νῦν,	νῦν,
16	100	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν
16	101	οἶδʼ	οἶδ᾽	οἶδ᾽	οἶδ᾽	οἶδ᾽	οἶδ᾽	οἶδ’	οἶδ᾽	οἶδ᾽	οἶδ᾽	οἶδ᾽	οἶδ᾿	οἶδ᾽	οἶδ᾽
16	102	ὑπέρτερον,	ὑπέρτερον	ὑπέρτερον	ὑπέρτερον,	ὑπέρτερον,	ὑπέρτερον,	ὑπέρτερον,	ὑπέρτερον,	ὑπέρτερον,	ὑπέρτερον,	ὑπέρτερον,	ὑπέρτερον,	ὑπέρτερον,	ὑπέρτερον
17	103	οὔτʼ	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ’	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾿	οὔτ᾽	οὔτ᾽
17	104	εὐτυχοῦσα	εὐτυχοῦσα	εὐτυχοῦσα	εὐτυχοῦσα	εὐτυχοῦσα	εὐτυχοῦσα	εὐτυχοῦσα	εὐτυχοῦσα	εὐτυχοῦσα	εὐτυχοῦσα	εὐτυχοῦσα	εὐτυχοῦσα	εὐτυχοῦσα	εὐτυχοῦσα
17	105	μᾶλλον	μᾶλλον,	μᾶλλον	μᾶλλον,	μᾶλλον	μᾶλλον	μᾶλλον	μᾶλλον	μᾶλλον	μᾶλλον,	μᾶλλον	μᾶλλον	μᾶλλον	μᾶλλον
17	106	οὔτʼ	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ’	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾿	οὔτ᾽	οὔτ᾽
17	107	ἀτωμένη.	ἀτωμένη.	ἀτωμένη.	ἀτωμένη.	ἀτωμένη.	ἀτωμένη.	ἀτωμένη.	ἀτωμένη.	ἀτωμένη.	ἀτωμένη.	ἀτωμένη.	ἀτωμένη.	ἀτωμένη.	ἀτωμένη.
18	108	ᾔδη	ᾔδη	ᾔδη	ᾔδη	ἤιδη	ᾔδη	ἤιδη	ἤιδη	ἤιδη	ᾔδη	ᾔδη	ᾔδη	ᾔδη	ἤιδη
18	109	καλῶς,	καλῶς,	καλῶς,	καλῶς,	καλῶς,	καλῶς	καλῶς	καλῶς,	καλῶς,	καλῶς,	καλῶς,	καλῶς,	καλῶς,	καλῶς,
18	110	καί	καί	καί	καί	καί	καί	καί	καί	καί	καί	καί	καί	καί	καί
18	111	σʼ	σ᾽	σ᾽	σ᾽	σ᾽	σ᾽	σ’	σ᾽	σ᾽	σ᾽	σ᾽	σ᾿	σ᾽	σ᾽
18	112	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς	ἐκτὸς
18	113	αὐλείων	αὐλείων	αὐλείων	αὐλείων	αὐλείων	αὐλείων	αὐλείων	αὐλείων	αὐλείων	αὐλείων	αὐλείων	αὐλείων	αὐλείων	αὐλείων
18	114	πυλῶν	πυλῶν	πυλῶν	πυλῶν	πυλῶν	πυλῶν	πυλῶν	πυλῶν	πυλῶν	πυλῶν	πυλῶν	πυλῶν	πυλῶν	πυλῶν
19	115	τοῦδʼ	τοῦδ᾽	τοῦδ᾽	τοῦδ᾽	τοῦδ᾽	τοῦδ᾽	τοῦδ’	τοῦδ᾽	τοῦδ᾽	τοῦδ᾽	τοῦδ᾽	τοῦδ᾿	τοῦδ᾽	τοῦδ᾽.
19	116	οὕνεκʼ	οὕνεκ᾽	οὕνεκ᾽	οὕνεκ᾽	οὕνεκ᾽	οὕνεκ᾽	οὕνεκ’	οὕνεκ᾽	οὕνεκ᾽	οὕνεκ᾽	οὕνεκ᾽	οὕνεκ᾿	οὕνεκ᾽	οὕνεκ᾽
19	117	ἐξέπεμπον,	ἐξέπεμπον,	ἐξέπεμπον,	ἐξέπεμπον,	ἐξέπεμπον,	ἐξέπεμπον,	ἐξέπεμπον,	ἐξέπεμπον,	ἐξέπεμπον,	ἐξέπεμπον,	ἐξέπεμπον,	ἐξέπεμπον,	ἐξέπεμπον,	ἐξέπτεμττον,
19	118	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς
19	119	μόνη	μόνη	μόνη	μόνη	μόνη	μόνη	μόνη	μόνη	μόνη	μόνη	μόνη	μόνη	μόνη	μόνη
19	120	κλύοις.	κλύοις.	κλύοις.	κλύοις.	κλύοις.	κλύοις.	κλύοις.	κλύοις.	κλύοις.	κλύοις.	κλύοις.	κλύοις.	κλύοις.	κλύοις.
20	121	τί	τί	τί	τί	τί	τί	τί	τί	τί	τί	τί	τί	τί	τί
20	122	δʼ	δ᾽	δ᾽	δ᾽	δ᾽	δ᾽	δ’	δ᾽	δ᾽	δ᾽	δ᾽	δ᾿	δ'	δ᾽
20	123	ἔστι;	ἔστι;	ἔστι;	ἔστι;	ἐστί;	ἔστι;	ἔστι;	ἔστι;	ἔστι;	ἔστι;	ἔστι;	ἔστι;	ἔστι;	ἔστι;
20	124	δηλοῖς	δηλοῖς	δηλοῖς	δηλοῖς	δηλοῖς	δηλοῖς	δηλοῖς	δηλοῖς	δηλοῖς	δηλοῖς	δηλοῖς	δηλοῖς	δηλοῖς	δηλοῖς
20	125	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ
20	126	τι	τι	τι	τι	τι	τι	τι	τι	τι	τι	τι	τι	τι	τι
20	127	καλχαίνουσʼ	καλχαίνουσ᾽	καλχαίνουσ᾽	καλχαίνουσ᾽	καλχαίνουσ᾽	καλχαίνουσ᾽	καλχαίνουσ’	καλχαίνουσ᾽	καλχαίνουσ᾽	καλχαίνουσ᾽	καλχαίνουσ᾽	καλχαίνουσ᾿	καλχαίνουσ'	καλχαίνουσ᾽
20	128	ἔπος.	ἔπος.	ἔπος.	ἔπος.	ἔπος.	ἔπος.	ἔπος.	ἔπος.	ἔπος.	ἔπος.	ἔπος.	ἔπος.	ἔπος.	ἔπος.
21	129	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ
21	130	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ
